'jian'mo	建模	011124.121784	51111254.12341222511134
'yan'mo'ban	掩膜板	101345.361784.123354	12113425115.35111222511134.12343354
'ba'chu'li	拔出力	101354.02.53	12113544.52252.53
'rao'dong'li	扰动力	101354.115453.53	1211354.115453.53
'rao'dong'li'ju	扰动力矩	101354.115453.53.941515	1211354.115453.53.311341515
'rao'ma'qi	扰码器	101354.1450.808010	1211354.13251551.2512511344251251
'e'liu'shi'huo'sai	扼流式活塞	101355.444155.112154.4496.467639	1211355.4414154325.112154.441312251.4451122134121
'e'liu'quan	扼流圈	101355.444155.254351	1211355.4414154325.25431134551
'e'liu'guan'jie	扼流关节	101355.444155.4334.1752	1211355.4414154325.431134.12252
'tuo'pu'shu'xing	拓扑属性	1014.1024.073804.49371	12113251.12124.513325125214.44231121
'tuo'pu'jian'suo	拓扑检索	1014.1024.123411.124554	12113251.12124.12343414431.1245554234
'ju'shou	拒收	101515.5290	1211515.523134
'ju'jue'yu	拒绝域	101515.553555.191804	1211515.551355215.12112511534
'ju'jue'fu'wu	拒绝服务	101515.553555.365254.9053	1211515.551355215.35115254.35453
'pi'zuo'ye	批作业	101535.323121.22	1211535.3231211.22431
'nao'xing'ji'gou	挠性机构	101535.49371.1235.123554	121153135.44231121.123435.12343554
'nao'xing'gou'jian	挠性构件	101535.49371.123554.3231	121153135.44231121.12343554.323112
'nao'xing'zhuan'zi	挠性转子	101535.49371.771154.58	121153135.44231121.15211154.521
'nao'xing'zhuan'zi'di'su'ping'heng	挠性转子低速平衡	101535.49371.771154.58.323514.180234.14312.333582	121153135.44231121.15211154.521.3235154.1251234454.14312.3323525121134112
'nao'xing'zhuan'zi'gao'su'ping'heng	挠性转子高速平衡	101535.49371.771154.58.412580.180234.14312.333582	121153135.44231121.15211154.521.4125125251.1251234454.14312.3323525121134112
'nao'jin'cheng	挠进程	101535.76454.928011	121153135.1132454.312342511121
'pi'liang	批量	101535.811811	1211535.251112511211
'pi'liang'kong'zhi	批量控制	101535.811811.104631.311252	1211535.251112511211.12144534121.31125222
'pi'liang'cao'zuo	批量操作	101535.811811.108082.323121	1211535.251112511211.1212512512511234.3231211
'pi'chu'li	批处理	101535.9024.118121	1211535.35424.11212511211
'pi'chu'li'ji'shu	批处理技术	101535.9024.118121.101254.124	1211535.35424.11212511211.1211254.12344
'pi'chu'li'xi'tong	批处理系统	101535.9024.118121.356234.554155	1211535.35424.11212511211.3554234.551415435
'pi'chu'li'wen'jian	批处理文件	101535.9024.118121.66.3231	1211535.35424.11212511211.4134.323112
'pi'chu'li'cheng'xu	批处理程序	101535.9024.118121.928011.4754	1211535.35424.11212511211.312342511121.4135452
'jian'qu'she'bei	拣取设备	101554.7254.403554.9083	12115534.12211154.453554.35425121
'lao'xing	捞型	101743.113229	1211224553.113222121
'miao'shu'fu'biao	描述符表	101783.124454.373214.713534	12112225121.12344454.31431432124.11213534
'miao'shu'han'shu	描述函数	101783.124454.524132.685990	12112225121.12344454.52413452.4312345313134
'miao'shu'fang'fa	描述方法	101783.124454.60.441954	12112225121.12344454.4153.44112154
'da'xian'qie'ting	搭线窃听	101792.551154.463413.803312	121122341251.55111534.445341553.2513312
'sa'bo	撒播	101820.103683	121122125113134.121343123425121
'chi'jiu'gu'zhang	持久故障	101914.354.128090.526182	121121124.354.122513134.5241431251112
'chi'jiu'xing	持久性	101914.354.49371	121121124.354.44231121
'gua'qi'yuan'yu	挂起原语	101919.76515.133814.401250	121121121.1212134515.1332511234.451251251
'gua'qi'zhuang'tai	挂起状态	101919.76515.412134.134465	121121121.1212134515.4121344.13444544
'gua'qi'jin'cheng	挂起进程	101919.76515.76454.928011	121121121.1212134515.1132454.312342511121
'gua'qi'shi'jian	挂起时间	101919.76515.81124.4281	121121121.1212134515.2511124.4252511
'kao'bei	拷贝	101935.28	121121315.2534
'pai'ji'xi'shu	排挤系数	1023.106632.356234.685990	12121112111.121413432.3554234.4312345313134
'pai'lie	排列	1023.1322	12121112111.135422
'pai'ta'xing'luo'ji	排它性逻辑	1023.4635.49371.849044.778072	12121112111.44535.44231121.25221354454.1521251122111
'pai'ta'suo	排它锁	1023.4635.912428	12121112111.44535.311152432534
'pai'xu	排序	1023.4754	12121112111.4135452
'pai'xu'wang'luo	排序网络	1023.4754.253434.559080	12121112111.4135452.253434.551354251
'pai'xu'ce'lue	排序策略	1023.4754.371254.839080	12121112111.4135452.314314125234.25121354251
'pai'dui	排队	1023.5234	12121112111.5234
'pai'dui'gui'ze	排队规则	1023.5234.113425.2822	12121112111.5234.11342535.253422
'pai'dui'mo'xing	排队模型	1023.5234.121784.113229	12121112111.5234.12341222511134.113222121
'pai'dui'zhu'ce'qing'qiu	排队注册请求	1023.5234.44411.35351.407121.124134	12121112111.5234.44141121.35351.4511212511.1241344
'pai'dui'jin'cheng	排队进程	1023.5234.76454.928011	12121112111.5234.1132454.312342511121
'pai'qi	排气	1023.67	12121112111.3115
'pai'qi'jie'liu'fa	排气节流阀	1023.67.1752.444155.423214	12121112111.3115.12252.4414154325.425321534
'pai'qi'guan'lu	排气管路	1023.67.374621.299080	12121112111.3115.31431444525151.2512121354251
'pai'cuo	排错	1023.911881	12121112111.3111512212511
'chao'jian	抄件	102343.3231	1212343.323112
'dang'ban	挡板	102401.123354	121243511.12343354
'dang'ban'fa	挡板阀	102401.123354.423214	121243511.12343354.425321534
'dang'quan	挡圈	102401.254351	121243511.25431134551
'cheng'huan	撑环	102487.111324	121243452513112.11211324
'cheng'jiao	撑角	102487.35	121243452513112.3535112
'cha'cao	插槽	103127.121251	121312321511.123412512212511
'cha'ban'fa	插板阀	103127.123354.423214	121312321511.12343354.425321534
'cha'chi	插齿	103127.21	121312321511.21213452
'cha'chi'ji	插齿机	103127.21.1235	121312321511.21213452.123435
'cha'zhi	插值	103127.321227	121312321511.3212251111
'cha'zhi'fa	插值法	103127.321227.441954	121312321511.3212251111.44112154
'cha'jian	插件	103127.3231	121312321511.323112
'cha'jian'lan	插件栏	103127.3231.12431	121312321511.323112.123443111
'cha'jian'dao'gui	插件导轨	103127.3231.515124.7735	121312321511.323112.515124.152135
'cha'jian'jia	插件架	103127.3231.538012	121312321511.323112.532511234
'cha'ru'sao'miao	插入扫描	103127.34.1001.101783	121312321511.34.121511.12112225121
'cha'ru'pai'xu	插入排序	103127.34.1023.4754	121312321511.34.12121112111.4135452
'cha'ru'sun'hao	插入损耗	103127.34.108028.7167	121312321511.34.1212512534.1112343115
'cha'ru'shi'fang'dian'guan	插入式放电管	103127.34.112154.6090.815.374621	121312321511.34.112154.41533134.25115.31431444525151
'cha'ru'xiang'mu	插入项目	103127.34.121138.82	121312321511.34.121132534.25111
'cha'ru'lie	插入列	103127.34.1322	121312321511.34.135422
'cha'ru'cheng'yuan	插入成员	103127.34.135534.8028	121312321511.34.135534.2512534
'cha'ru'wei'zhi	插入位置	103127.34.3261.841227	121312321511.34.3241431.2522112251111
'cha'ru'ce'shi'xin'hao	插入测试信号	103127.34.442822.401124.3240.8015	121312321511.34.441253422.45112154.324111251.25115
'cha'ru'zi'jie'ji	插入字节集	103127.34.4658.1752.324172	121312321511.34.445521.12252.324111211234
'cha'ru'yi'chang	插入异常	103127.34.515132.248025	121312321511.34.515132.24345251252
'cha'ru'li	插入力	103127.34.53	121312321511.34.53
'cha'ru'wen'ben	插入文本	103127.34.66.121	121312321511.34.4134.12341
'cha'ru'wen'ben'xing	插入文本行	103127.34.66.121.33112	121312321511.34.4134.12341.332112
'cha'zhuang	插装	103127.412194	121312321511.412121413534
'cha'zhuang'fa	插装阀	103127.412194.423214	121312321511.412121413534.425321534
'cha'sai	插塞	103127.467639	121312321511.4451122134121
'cha'zuo	插座	103127.473439	121312321511.4133434121
'cha'kong	插孔	103127.585	121312321511.5215
'cha'kong'ban	插孔板	103127.585.123354	121312321511.5215.12343354
'cha'bu'qi	插补器	103127.6324.808010	121312321511.4523424.2512511344251251
'cha'bu'cheng'xu	插补程序	103127.6324.928011.4754	121312321511.4523424.312342511121.4135452
'cha'kou	插口	103127.80	121312321511.251
'cha'zhen	插针	103127.9112	121312321511.3111512
'cha'zhen'ya'li	插针压力	103127.9112.13194.53	121312321511.3111512.131214.53
'tuo'guan'gen'zu'yong	托管跟租用	10315.374621.2903.9227.35112	121315.31431444525151.2512121511534.3123425111.35112
'tuo'guan'dai'ma	托管代码	10315.374621.32154.1450	121315.31431444525151.32154.13251551
'tuo'guan'jia'mi'biao'zhun	托管加密标准	10315.374621.5380.466520.121124.413241	121315.31431444525151.53251.44545434252.123411234.4132411121
'tuo'guan'dui'xiang'ge'shi	托管对象格式	10315.374621.54124.358034.129080.112154	121315.31431444525151.54124.35251353334.1234354251.112154
'tuo'guan'shu'ju	托管数据	10315.374621.685990.100710	121315.31431444525151.4312345313134.12151312251
'tuo'jia	托架	10315.538012	121315.532511234
'tuo'wa'zi	托瓦兹	10315.79.431566	121315.1554.431554554
'tuo'pan'tu'biao	托盘图标	10315.9384.259041.121124	121315.33541425221.25354441.123411234
'tuo'dong	拖动	103155.115453	12131525.115453
'tuo'fang	拖放	103155.6090	12131525.41533134
'tui'chi	推迟	103241.074454	12132411121.5134454
'tui'chi'zhuan'yi'ji'shu	推迟转移技术	103241.074454.771154.929090.101254.124	12132411121.5134454.15211154.31234354354.1211254.12344
'tui'wan'gong'lv'fang'da'qi	推挽功率放大器	103241.103585.12153.415642.6090.134.808010	12132411121.1213525135.12153.41554413412.41533134.134.2512511344251251
'tui'wan'shu'chu	推挽输出	103241.103585.773412.02	12132411121.1213525135.1521341251122.52252
'tui'li	推理	103241.118121	12132411121.11212511211
'tui'li'ceng'ci	推理层次	103241.118121.071154.413534	12132411121.11212511211.5131154.413534
'tui'li'gui'ze	推理规则	103241.118121.113425.2822	12132411121.11212511211.11342535.253422
'tui'li'mo'xing	推理模型	103241.118121.121784.113229	12132411121.11212511211.12341222511134.113222121
'tui'li'ji	推理机	103241.118121.1235	12132411121.11212511211.123435
'tui'li'ji'qi	推理机器	103241.118121.1235.808010	12132411121.11212511211.123435.2512511344251251
'tui'li'guo'cheng	推理过程	103241.118121.124454.928011	12132411121.11212511211.124454.312342511121
'tui'li'bu	推理步	103241.118121.21233	12132411121.11212511211.2121233
'tui'li'wang'luo	推理网络	103241.118121.253434.559080	12132411121.11212511211.253434.551354251
'tui'li'xi'tong	推理系统	103241.118121.356234.554155	12132411121.11212511211.3554234.551415435
'tui'li'ce'lue	推理策略	103241.118121.371254.839080	12132411121.11212511211.314314125234.25121354251
'tui'li'jie'dian	推理结点	103241.118121.551980.218069	12132411121.11212511211.551121251.212514444
'tui'li'zi'ju	推理子句	103241.118121.58.3580	12132411121.11212511211.521.35251
'tui'li'fang'fa	推理方法	103241.118121.60.441954	12132411121.11212511211.4153.44112154
'tui'li'lian	推理链	103241.118121.917744	12132411121.11212511211.311151512454
'tui'li'cheng'xu	推理程序	103241.118121.928011.4754	12132411121.11212511211.312342511121.4135452
'tui'gan'zhi'dong'qi	推杆制动器	103241.12112.311252.115453.808010	12132411121.1234112.31125222.115453.2512511344251251
'tui'gan'huo'chi	推杆活齿	103241.12112.4496.21	12132411121.1234112.441312251.21213452
'tui'dao'shu	推导树	103241.515124.125414	12132411121.515124.123454124
'tui'li'qiu'zhou'cheng	推力球轴承	103241.53.111244.7783.581154	12132411121.53.11211241344.152125121.52111534
'tui'li'yuan'zhu'gun'zi'zhou'cheng	推力圆柱滚子轴承	103241.53.258021.12411.446654.58.7783.581154	12132411121.53.2525125341.123441121.4414134543534.521.152125121.52111534
'tui'li'yuan'zhui'gun'zi'zhou'cheng	推力圆锥滚子轴承	103241.53.258021.913241.446654.58.7783.581154	12132411121.53.2525125341.3111532411121.4414134543534.521.152125121.52111534
'tui'li'tiao'xin'gun'zi'zhou'cheng	推力调心滚子轴承	103241.53.403510.65.446654.58.7783.581154	12132411121.53.4535121251.4544.4414134543534.521.152125121.52111534
'tui'li'gun'zi'zhou'cheng	推力滚子轴承	103241.53.446654.58.7783.581154	12132411121.53.4414134543534.521.152125121.52111534
'tui'li'gun'zhen'zhou'cheng	推力滚针轴承	103241.53.446654.9112.7783.581154	12132411121.53.4414134543534.3111512.152125121.52111534
'tui'li'zhou'cheng	推力轴承	103241.53.7783.581154	12132411121.53.152125121.52111534
'tui'cheng	推程	103241.928011	12132411121.312342511121
'tui'cheng'yun'dong'jiao	推程运动角	103241.928011.115444.115453.35	12132411121.312342511121.1154454.115453.3535112
'xie'dai'shi'wu'xian'dian'hua'ji	携带式无线电话机	103243.122245.112154.1135.551154.815.4096.1235	1213241112153.122245252.112154.1135.55111534.25115.45312251.123435
'zhe'die	折叠	103312.545457	1213312.5454544525111
'zhe'xian	折线	103312.551154	1213312.55111534
'zhe'he'zhen'zi	折合振子	103312.92.101314.58	1213312.341251.1211311534.521
'zhe'she	折射	103312.95124	1213312.3251113124
'chai'fen	拆分	103314.3453	12133124.3453
'chai'xian	拆线	103314.551154	12133124.55111534
'ban'shou	扳手	103354.67	1213354.3112
'ban'shou'lian	扳手链	103354.67.917744	1213354.3112.311151512454
'qin'zong'ji'gou	擒纵机构	103444.553434.1235.123554	121344134522554.5513434.123435.12343554
'qiang'xian	抢先	103455.31935	1213455.312135
'qiang'xian'diao'du	抢先调度	103455.31935.403510.471854	1213455.312135.4535121251.413122154
'yong'se	拥塞	103512.467639	12135112.4451122134121
'yong'se'kong'zhi	拥塞控制	103512.467639.104631.311252	12135112.4451122134121.12144534121.31125222
'huan'chu	换出	103524.02	1213525134.52252
'huan'mian'fa	换面法	103524.132521.441954	1213525134.132522111.44112154
'huan'ye	换页	103524.1328	1213525134.132534
'huan'xiang'fa	换向阀	103524.32580.423214	1213525134.325251.425321534
'huan'hang	换行	103524.33112	1213525134.332112
'huan'neng'qi	换能器	103524.542515.808010	1213525134.5425113535.2512511344251251
'huan'qi'dan'wei	换气单位	103524.67.438112.3261	1213525134.3115.43251112.3241431
'huan'jin	换进	103524.76454	1213525134.1132454
'huan'ming	换名	103524.9080	1213525134.354251
'huan'ming'huan'chong'qi	换名缓冲器	103524.9080.553914.41802.808010	1213525134.354251.551344311354.412512.2512511344251251
'zhi'xing'zhi'ling	执行指令	10354.33112.103581.34454	121354.332112.121352511.34454
'zhi'xing'kong'zhi'cheng'xu	执行控制程序	10354.33112.104631.311252.928011.4754	121354.332112.12144534121.31125222.312342511121.4135452
'zhi'xing'kai'xiao	执行开销	10354.33112.1132.912421	121354.332112.1132.311152432511
'zhi'xing'zhan	执行栈	10354.33112.121154	121354.332112.123411534
'zhi'xing'ji'gou	执行机构	10354.33112.1235.123554	121354.332112.123435.12343554
'zhi'xing'gou'jian	执行构件	10354.33112.123554.3231	121354.332112.12343554.323112
'zhi'xing'zhi'chi	执行支持	10354.33112.1254.101914	121354.332112.1254.121121124
'zhi'xing'ma	执行码	10354.33112.1450	121354.332112.13251551
'zhi'xing'li'cheng	执行例程	10354.33112.321322.928011	121354.332112.32135422.312342511121
'zhi'xing'zuo'ye'diao'du	执行作业调度	10354.33112.323121.22.403510.471854	121354.332112.3231211.22431.4535121251.413122154
'zhi'xing'xi'tong	执行系统	10354.33112.356234.554155	121354.332112.3554234.551415435
'zhi'xing'guan'li'cheng'xu	执行管理程序	10354.33112.374621.118121.928011.4754	121354.332112.31431444525151.11212511211.312342511121.4135452
'zhi'xing'diao'du'wei'hu	执行调度维护	10354.33112.403510.471854.553241.10407	121354.332112.4535121251.413122154.55132411121.1214513
'zhi'xing'zhu'ti	执行主体	10354.33112.411.32121	121354.332112.41121.3212341
'zhi'xing'zhu'guan	执行主管	10354.33112.411.374621	121354.332112.41121.31431444525151
'zhi'xing'zhuang'tai	执行状态	10354.33112.412134.134465	121354.332112.4121344.13444544
'zhi'xing'liu	执行流	10354.33112.444155	121354.332112.4414154325
'zhi'xing'qi	执行器	10354.33112.808010	121354.332112.2512511344251251
'zhi'xing'shi'jian	执行时间	10354.33112.81124.4281	121354.332112.2511124.4252511
'zhi'xing'shi'jian'li'lun	执行时间理论	10354.33112.81124.4281.118121.403435	121354.332112.2511124.4252511.11212511211.453435
'zhi'xing'cheng'xu	执行程序	10354.33112.928011.4754	121354.332112.312342511121.4135452
'zhi'fa'fang'wen'qu	执法访问区	10354.441954.4060.4280.1345	121354.44112154.454153.425251.1345
'shi'lei	势垒	103543.545459	12135453.545454121
'shi'lei'ceng	势垒层	103543.545459.071154	12135453.545454121.5131154
'shi'lei'gao'du	势垒高度	103543.545459.412580.471854	12135453.545454121.4125125251.413122154
'shi'yue'er'ji'guan	势越二极管	103543.761554.11.12354.374621	12135453.121213415534.11.1234354.31431444525151
're'bi'fan'ying'qi	热壁反应器	103549.0719.3354.47641.808010	1213544444.5132514143112121.3354.4134431.2512511344251251
're'ping'bi	热屏蔽	103549.074332.176890	1213544444.513431132.12243252343134
're'ping'yin'ji	热屏阴极	103549.074332.5236.12354	1213544444.513431132.523511.1234354
're'cha'ba	热插拔	103549.103127.101354	1213544444.121312321511.12113544
're'tan'zhen'fa	热探针法	103549.104532.9112.441954	1213544444.12145341234.3111512.44112154
're'kong'zhi	热控制	103549.104631.311252	1213544444.12144534121.31125222
're'ji'ya	热挤压	103549.106632.13194	1213544444.121413432.131214
're'ji'chuan	热击穿	103549.1120.463479	1213544444.11252.445341523
're'ban	热斑	103549.116611	1213544444.112141341121
're'zai'he'zhi	热载荷值	103549.121774.173212.321227	1213544444.1211521534.1223212512.3212251111
're'zai'liu'zi	热载流子	103549.121774.444155.58	1213544444.1211521534.4414154325.521
're'zai'liu'zi'er'ji'guan	热载流子二极管	103549.121774.444155.58.11.12354.374621	1213544444.1211521534.4414154325.521.11.1234354.31431444525151
're'he'fan'ying	热核反应	103549.124154.3354.47641	1213544444.1234415334.3354.4134431
're'ti'du	热梯度	103549.124353.471854	1213544444.12344351523.413122154
're'xie	热楔	103549.127154	1213544444.1234111253134
're'ya	热压	103549.13194	1213544444.131214
're'ya'han	热压焊	103549.13194.698112	1213544444.131214.43342511112
're'ya'zhu	热压铸	103549.13194.917314	1213544444.131214.311151113124
're'ping'heng	热平衡	103549.14312.333582	1213544444.14312.3323525121134112
're'ci'xie'ru	热磁写入	103549.144316.45151.34	1213544444.13251431554554.45151.34
're'ci'xiao'ying	热磁效应	103549.144316.663490.47641	1213544444.13251431554554.4134343134.4134431
